Código;Descrição
1;EXTINÇÃO POR ENCERRAMENTO LIQUIDAÇÃO VOLUNTÁRIA
2;INCORPORAÇÃO
3;FUSÃO
4;CISÃO TOTAL 
5;ENCERRAMENTO DA FALÊNCIA
6;ENCERRAMENTO DA LIQUIDAÇÃO
7;ELEVAÇÃO A MATRIZ
8;TRANSPASSE 
9;NÃO INÍCIO DE ATIVIDADE
10;EXTINÇÃO PELO ENCERRAMENTO DA LIQUIDAÇÃO JUDICIAL
11;ANULAÇÃO POR MULTICIPLIDADE
12;ANULAÇÃO ONLINE DE OFICIO
13;OMISSA CONTUMAZ
14;OMISSA NÃO LOCALIZADA
15;INEXISTENTE DE FATO
16;ANULAÇÃO POR VÍCIOS
17;BAIXA INICIADA E AINDA NÃO DEFERIDA
18;INTERRUPÇÃO TEMPORÁRIA DAS ATIVIDADES
19;OMISSO DE DIRPJ ATÉ 5 EXERCÍCIOS
20;EM CONDIÇÃO DE INAPTIDÃO
21;PEDIDO DE BAIXA INDEFERIDA
22;RESTABELECIMENTO COM CERTIDÃO POSITIVA COM EFEITO DE NEGATIVA
23;COM PENDÊNCIA FISCAL
24;POR EMISSÃO CERTIDÃO NEGATIVA
25;CERTIDÃO POSITIVA COM EFEITO DE NEGATIVA
26;IRREGULARIDADE DE PAGAMENTO
27;IRREGULARIDADE DE RECOLHIMENTO E EXIGIBILIDADE SUSPENSA
28;TRANSFERÊNCIA FILIAL CONDIÇÃO MATRIZ
29;AGUARDANDO CONF. DE DIRPJ/DIPJ
30;ANR - AGUARDANDO CONF. DE DIRPJ/DIPJ
31;EXTINÇÃO DA FILIAL
32;INEXISTENTE DE FATO – ADE/COSAR
33;TRANSFERÊNCIA DO ÓRGÃO LOCAL A CONDIÇÃO DE FILIAL DO ÓRGÃO REGIONAL
34;ANULAÇÃO DE INSCRIÇÃO INDEVIDA
35;EMPRESA ESTRANGEIRA AGUARDANDO DOCUMENTAÇÃO
36;PRÁTICA IRREGULAR DE OPERAÇÃO DE COMERCIO EXTERIOR
37;BAIXA DE PRODUTOR RURAL
38;BAIXA DEFERIDA PELA RFB AGUARDANDO ANALISE DO CONVENENTE
39;BAIXA DEFERIDA PELA RFB E INDEFERIDA PELO CONVENENTE
40;BAIXA INDEFERIDA PELA RFB E AGUARDANDO ANALISE DO CONVENENTE
41;BAIXA INDEFERIDA PELA RFB E DEFERIDA PELO CONVENENTE
42;BAIXA INDEFERIDA PELA RFB E SEFIN
43;BAIXA DEFERIDA PELA RFB
44;BAIXA DEFERIDA PELA RFB E SEFAZ
45;BAIXA DEFERIDA PELA RFB
46;BAIXA DEFERIDA PELA RFB E SEFAZ E INDEFERIDA PELA SEFIN
47;BAIXA DEFERIDA PELA RFB E SEFIN E INDEFERIDA PELA SEFAZ
48;BAIXA INDEFERIDA PELA RFB
49;BAIXA INDEFERIDA PELA RFB
50;BAIXA INDEFERIDA PELA RFB
51;BAIXA INDEFERIDA PELA RFB E SEFAZ
52;BAIXA INDEFERIDA PELA RFB
53;BAIXA INDEFERIDA PELA RFB E SEFAZ E DEFERIDA PELA SEFIN
54;BAIXA - TRATAMENTO DIFERENCIADO DADO AS ME E EPP (LEI COMPLEMENTAR NUMERO 123/2006)
55;DEFERIDO PELO CONVENENTE
60;ARTIGO 30
61;INDICIO INTERPOS. FRAUDULENTA
62;FALTA DE PLURALIDADE DE SOCIOS
63;OMISSÃO DE DECLARAÇÕES
64;LOCALIZAÇÃO DESCONHECIDA
66;INAPTIDÃO
67;REGISTRO CANCELADO
70;ANULAÇÃO POR NÃO CONFIRMADO ATO DE REGISTRO DO MEI NA JUNTA COMERCIAL
71;INAPTIDÃO (LEI 11.941/2009 ART.54)
72;DETERMINAÇÃO JUDICIAL
73;OMISSÃO CONTUMAZ
74;INCONSISTÊNCIA CADASTRAL
80;BAIXA REGISTRADA NA JUNTA
